Timestamp,Engagement_Index,Geodesic_to_Ref,Geodesic_to_Running,Noise_Att_dB,Signal_Integrity,SQI
424103.8661944,0.0127,0.6343757778030222,0.6280320200249925,0.34,0.732,0.9950178643526572
424104.0664057,0.026,0.6749683855612725,0.6619563725753689,0.21,0.738,0.995810711332615
424104.2665496,0.0396,0.6971700195650303,0.6773639781151972,0.42,0.719,0.9967817079831013
424104.465957,0.0528,0.6875102745824779,0.6611194192782538,0.16,0.721,0.9974927010846709
424104.6663609,0.0689,0.8486733692644811,0.8142059248607698,-0.21,0.711,0.9978770869042455
424104.8661395,0.0836,0.8559624286112187,0.8141555575782963,0.19,0.76,0.9980031087426304
424105.0663128,0.1065,1.1986795852019176,1.1454345390406206,0.38,0.769,0.9986473943571404
424105.2660493,0.1313,1.27191218379634,1.2062453221413842,0.37,0.792,0.9986082914621972
424105.4659735,0.1541,1.2177544184245628,1.1406971324782045,0.2,0.782,0.9983308852300724
424105.6661386,0.1769,1.2600507061251902,1.1715840606879224,0.06,0.773,0.9982870359971703
424105.8660169,0.2,1.4962554024386203,1.3962741686803142,0.0,0.754,0.9968374339976201
424106.0659223,0.2295,1.4717719100912803,1.3570367072542207,-0.04,0.771,0.9961895469137385
424106.2666673,0.2564,1.613898377305504,1.485714594236788,0.0,0.755,0.9970279573259808
424106.4664863,0.283,1.416638222647452,1.2751137297475095,-0.08,0.798,0.9965042710474733
424106.6668357,0.2973,1.148039237642168,0.9993896861550277,0.49,0.818,0.9969950959872506
424106.8660604,0.3251,1.2097451369638883,1.0472184068758976,0.53,0.797,0.9977100696854229
424107.0660866,0.3431,1.0514918265372184,0.8799498571641947,0.37,0.808,0.9980955462141464
424107.2664829,0.3578,0.9286096607930581,0.7496999693996053,0.44,0.808,0.9982806637917948
424107.4658701,0.3689,0.7548207077580488,0.5703897293530352,0.18,0.799,0.9988520938457713
424107.665993,0.3781,0.6858387362091913,0.4967876649397392,-0.05,0.785,0.9986232729643276
424107.8659537,0.3611,0.6292894716769029,0.44872205481092264,0.09,0.79,0.9987145022741124
424108.0659249,0.1907,0.5294996251795796,0.4341335480498004,0.08,0.701,0.9987601735395382
424108.2663981,0.023,0.5275653617395881,0.5160549016174418,0.06,0.7,0.9986412430762928
424108.4666432,0.0174,0.5881638840835649,0.5794519230751339,0.56,0.701,0.999016778298092
424108.6660019,0.0683,0.3371433443542643,0.30299546565692775,1.22,0.692,0.9987470950937745
424108.8661202,-0.0259,0.29421485497481814,0.3071416052689938,1.03,0.701,0.9985548796898059
424109.0665268,0.0108,0.29210126313214435,0.2867129380343323,-0.15,0.695,0.9984489945162721
424109.2665497,-0.051,0.4735955146758348,0.4990831504037921,0.5,0.684,0.9981231887265178
424109.4661013,-0.0023,0.5567227915647611,0.5578643820782409,0.21,0.672,0.9983430253979789
