Timestamp,Filt_Ch1,Filt_Ch2,Filt_Ch3,Filt_Ch4
423209.6358269,1.141318802907334,0.5009743449558757,0.8094783064049752,0.6300690376975129
423209.6397287,7.539199722981672,3.6183346345771774,5.796114242984028,4.7607875985075925
423209.6433274,22.58416503124805,11.81007637551426,19.055262538826568,16.545602823066826
423209.6473029,41.1688895421274,23.235234934903758,38.81104510525374,35.58530184354654
423209.6514102,52.13323042875581,31.186122026252843,56.369228623469915,54.1930039824381
423209.6552693,50.83718862299109,31.540792122524593,65.12640964372642,64.68979193352456
423209.6596144,43.89642219039558,28.19776913629748,67.23832566882083,67.60692380976813
423209.6638375,40.02983576107126,27.534660058091855,68.45014198140333,68.45303070999847
423209.6673697,39.922175183970516,29.421359652824812,68.88350178289512,67.97742847366253
423209.6712697,37.15721668685354,27.387624136624495,62.216743426482765,60.189605633127236
423209.6760531,26.548952665481615,16.577094210388875,42.76421810137697,39.244805383127535
423209.6800426,8.658389931181606,-1.6878718015464353,10.615750932474745,4.98148224574886
423209.6840904,-11.986757008000104,-22.400887954199877,-28.639521565544918,-36.84698806396294
423209.6875885,-30.090224405315638,-40.652411289150656,-66.184367245208,-76.77354888614498
423209.6912669,-41.29434239923676,-52.57370223623804,-92.97519793932254,-105.11801666279979
423209.695523,-43.118595790698066,-55.46572601920102,-103.63561127905281,-116.13224938098972
423209.6995946,-36.4200559721431,-49.301599941829515,-98.6611890009091,-110.21611588841108
423209.7035554,-24.979640997065992,-36.94126674640265,-82.67377499528529,-92.32910536324857
423209.7072588,-12.158015708107111,-21.788199243106867,-61.09912664817068,-68.39519777952724
423209.7113411,0.14234107658817607,-6.616080629044294,-38.05454386646364,-42.882348452149124
423209.7152441,9.594209966400287,5.801178043769742,-15.190009239756993,-17.82831573236883
423209.7198374,14.044835460939131,13.229019348369834,7.604951867953263,6.607103382157857
423209.7233337,13.954301483845914,15.732943402061599,29.594905840513697,29.990538752109757
423209.7273846,12.237064397275848,15.999286894044976,47.909744038098864,50.0541921914418
423209.7312057,11.819782639502113,17.067429966266793,59.03476021865886,63.30083224378575
423209.7353398,13.391695042030745,19.514626220757435,61.21629934962092,67.1250343156506
423209.7396719,14.488811034264382,20.750400979769413,54.97284141973214,60.93870289507274
423209.7434911,11.06231558157433,17.108321383620833,41.47868935465324,45.48686892143241
423209.7475069,0.9046573988699443,6.838590383865125,21.365776772126097,22.38772699539673
423209.7515986,-14.08983400307536,-8.383163966590361,-4.072071455623899,-5.299273458179817
423209.7555951,-28.524654537540435,-23.701965853759955,-29.8417713535355,-31.84746006148427
423209.7593538,-36.779415422046455,-33.26306492669497,-47.4035602100979,-49.41134616579145
423209.7633215,-36.807919304788236,-34.01861681074831,-51.14016476280205,-53.03299251126944
423209.7673589,-30.557304320507416,-27.32545863419244,-43.48761733665678,-44.8541979327621
423209.7715564,-20.798974479659798,-16.362001492758267,-31.063685151227318,-30.89495115946367
423209.7760344,-8.716635358401508,-3.3542719032755324,-17.75527351926317,-15.179496620570083
423209.7798369,5.5707361252842595,10.748156344956076,-3.3210010589663685,1.575275849790567
423209.7836961,21.465076266003702,25.670772678938178,13.738760626208629,19.9371777347429
423209.787567,37.05071132255462,40.72740646031188,33.042628762451564,39.19569706991064
423209.7917217,49.47777657570908,53.91788027762726,51.267941522240015,56.31023789177073
423209.7958019,56.4408877813365,62.73298383219591,63.908872675245505,67.82621205523107
423209.7993411,57.06041591499425,65.34333806642356,66.99252175463758,71.22993292191573
423209.8038344,51.429884521926525,61.045223612189176,58.4669377017286,64.74009366857152
423209.8075421,39.82368412534983,50.252002943557464,40.40704365154988,48.76893211076839
423209.8113047,22.398289691403875,33.85113670564033,18.18988852118705,26.84051267091025
